"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"LIT_MM_OUYANG_FOXO1-DE_CD4_T-CELL_DIFF_Entrez","LIT_MM_OUYANG_FOXO1-DE_CD4_T-CELL_DIFF_Entrez","LIT_MM_OUYANG_FOXO1-DE_CD4_T-CELL_DIFF_Entrez","4/19","232/27982",1.61841334946448e-05,0.0162133005763331,0.00958659151011987,"Dlg3/S100a4/S100a6/Rarg",4
"LIT_MM_TIMMONS_BROWN-PREADIPOCYTE_7D_4D_UNIQUE_DN_Entrez","LIT_MM_TIMMONS_BROWN-PREADIPOCYTE_7D_4D_UNIQUE_DN_Entrez","LIT_MM_TIMMONS_BROWN-PREADIPOCYTE_7D_4D_UNIQUE_DN_Entrez","4/19","238/27982",1.78900053925374e-05,0.0162133005763331,0.00958659151011987,"S100a4/S100a6/Nhp2/Sf3a1",4
"LIT_MM_PELLEGATTA_GL261-NS_VS_GL261-AC_TUMOR_DN_Entrez","LIT_MM_PELLEGATTA_GL261-NS_VS_GL261-AC_TUMOR_DN_Entrez","LIT_MM_PELLEGATTA_GL261-NS_VS_GL261-AC_TUMOR_DN_Entrez","4/19","278/27982",3.28546826061213e-05,0.0162133005763331,0.00958659151011987,"S100a4/S100a6/Nhp2/Ddt",4
"GO_BP_MM_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION_Entrez","GO_BP_MM_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION_Entrez","GO_BP_MM_NEGATIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION_Entrez","2/19","13/27982",3.39190388626215e-05,0.0162133005763331,0.00958659151011987,"Wnt9a/Rarg",2
"LIT_MM_TIMMONS_DIFFERENTIATION_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","LIT_MM_TIMMONS_DIFFERENTIATION_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","LIT_MM_TIMMONS_DIFFERENTIATION_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","3/19","108/27982",5.17947285575774e-05,0.016505253500348,0.00975921727558564,"S100a4/S100a6/Sf3a1",3
"LIT_MM_TIMMONS_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","LIT_MM_TIMMONS_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","LIT_MM_TIMMONS_WHITE-BROWN-PREADIPOCYTE-OVERLAP_DN_Entrez","3/19","108/27982",5.17947285575774e-05,0.016505253500348,0.00975921727558564,"S100a4/S100a6/Sf3a1",3
"LIT_MM_BERGER_DIETARY-LC-PUFAS_HIPPOCAMPUS_DIFF_Entrez","LIT_MM_BERGER_DIETARY-LC-PUFAS_HIPPOCAMPUS_DIFF_Entrez","LIT_MM_BERGER_DIETARY-LC-PUFAS_HIPPOCAMPUS_DIFF_Entrez","2/19","22/27982",0.000100087066057948,0.0225660143606635,0.0133428206470781,"Pcbp3/Pax9",2
"LIT_MM_OWENS_TUMOR_VS_LUTEOMA_DN_Entrez","LIT_MM_OWENS_TUMOR_VS_LUTEOMA_DN_Entrez","LIT_MM_OWENS_TUMOR_VS_LUTEOMA_DN_Entrez","2/19","23/27982",0.000109574787466472,0.0225660143606635,0.0133428206470781,"S100a6/Lsr",2
"MPO_MM_ABNORMAL_BASIOCCIPITAL_BONE_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_BASIOCCIPITAL_BONE_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_BASIOCCIPITAL_BONE_MORPHOLOGY_Entrez","2/19","23/27982",0.000109574787466472,0.0225660143606635,0.0133428206470781,"Wnt9a/Rarg",2
"GENESIGDB_MM_BAR-ON_10_DENDRITIC_CELLS_4_Entrez","GENESIGDB_MM_BAR-ON_10_DENDRITIC_CELLS_4_Entrez","GENESIGDB_MM_BAR-ON_10_DENDRITIC_CELLS_4_Entrez","2/19","25/27982",0.000129825396426411,0.0225660143606635,0.0133428206470781,"S100a4/S100a6",2
"MPO_MM_ABNORMAL_THYROID_CARTILAGE_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_THYROID_CARTILAGE_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_THYROID_CARTILAGE_MORPHOLOGY_Entrez","2/19","25/27982",0.000129825396426411,0.0225660143606635,0.0133428206470781,"Rarg/Pax9",2
"LIT_MM_KRAMER_C9_SACCULAR_ALVEOLAR_TIMEPOINTS_UP_Entrez","LIT_MM_KRAMER_C9_SACCULAR_ALVEOLAR_TIMEPOINTS_UP_Entrez","LIT_MM_KRAMER_C9_SACCULAR_ALVEOLAR_TIMEPOINTS_UP_Entrez","2/19","28/27982",0.000163381419354902,0.0255696714305104,0.0151188213589342,"S100a4/S100a6",2
"MSIGDB_MM_LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN_Entrez","MSIGDB_MM_LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN_Entrez","MSIGDB_MM_LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN_Entrez","2/19","31/27982",0.000200741108450559,0.0255696714305104,0.0151188213589342,"S100a4/S100a6",2
"LIT_MM_SCHEBESTA_PAX5_VS_PAX5_PRO-B-CELL_DIFF_Entrez","LIT_MM_SCHEBESTA_PAX5_VS_PAX5_PRO-B-CELL_DIFF_Entrez","LIT_MM_SCHEBESTA_PAX5_VS_PAX5_PRO-B-CELL_DIFF_Entrez","3/19","172/27982",0.000205694496361179,0.0255696714305104,0.0151188213589342,"Dlg3/S100a6/Slc1a5",3
"LIT_MM_SCHOENFELDER_RNA-FISH-HBA-HBB-CO-LOCALIZATIO-GENE_DIFF_Entrez","LIT_MM_SCHOENFELDER_RNA-FISH-HBA-HBB-CO-LOCALIZATIO-GENE_DIFF_Entrez","LIT_MM_SCHOENFELDER_RNA-FISH-HBA-HBB-CO-LOCALIZATIO-GENE_DIFF_Entrez","2/19","32/27982",0.000214037178197889,0.0255696714305104,0.0151188213589342,"Fbxo9/Slc1a5",2
"LIT_MM_HOKI_XXIVS-TS_XX-TS_BEFORE-DIFFERENT_X-LINKED_UP_Entrez","LIT_MM_HOKI_XXIVS-TS_XX-TS_BEFORE-DIFFERENT_X-LINKED_UP_Entrez","LIT_MM_HOKI_XXIVS-TS_XX-TS_BEFORE-DIFFERENT_X-LINKED_UP_Entrez","2/19","34/27982",0.000241890473519466,0.0255696714305104,0.0151188213589342,"Dlg3/Pdzd4",2
"LIT_MM_CASTELLANO_H-RAS_VS_N-RAS_SERUM-STIMULATION-8H_G1_UP_Entrez","LIT_MM_CASTELLANO_H-RAS_VS_N-RAS_SERUM-STIMULATION-8H_G1_UP_Entrez","LIT_MM_CASTELLANO_H-RAS_VS_N-RAS_SERUM-STIMULATION-8H_G1_UP_Entrez","2/19","35/27982",0.000256446665904636,0.0255696714305104,0.0151188213589342,"Nhp2/Sf3a1",2
"LIT_MM_CHEN_FOXP3-SCURFY-MUTATION_DIABETES_UP_Entrez","LIT_MM_CHEN_FOXP3-SCURFY-MUTATION_DIABETES_UP_Entrez","LIT_MM_CHEN_FOXP3-SCURFY-MUTATION_DIABETES_UP_Entrez","3/19","188/27982",0.000267165851354928,0.0255696714305104,0.0151188213589342,"S100a4/S100a6/Nhp2",3
"LIT_MM_SOHN_E13.5-DAY-IVD_DIFF_Entrez","LIT_MM_SOHN_E13.5-DAY-IVD_DIFF_Entrez","LIT_MM_SOHN_E13.5-DAY-IVD_DIFF_Entrez","3/19","192/27982",0.000284191830283576,0.0255696714305104,0.0151188213589342,"Wnt9a/S100a6/Pax9",3
"GO_BP_MM_ENDODERM_DEVELOPMENT_Entrez","GO_BP_MM_ENDODERM_DEVELOPMENT_Entrez","GO_BP_MM_ENDODERM_DEVELOPMENT_Entrez","2/19","39/27982",0.000318856367164809,0.0255696714305104,0.0151188213589342,"Wnt9a/Pax9",2
