Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSMUSG00000034488	Edil3	-27.085	8.827
ENSMUSG00000022762	Ncam2	-21.068	8.487
ENSMUSG00000027022	Xirp2	-19.262	8.336
ENSMUSG00000110246	C130073E24Rik	-38.818	7.330
ENSMUSG00000056073	Grik2	-25.581	6.746
ENSMUSG00000071424	Grid2	-24.377	6.664
ENSMUSG00000091572	Vmn2r3	-20.165	6.385
ENSMUSG00000092032	Vmn2r59	-20.165	6.385
ENSMUSG00000063887	Nlgn1	-20.165	6.385
ENSMUSG00000070601	Vmn2r84	-19.262	6.332
ENSMUSG00000096201	Gm10715	-32.501	6.260
ENSMUSG00000022311	Csmd3	-17.758	6.222
ENSMUSG00000060534	Dcc	-17.758	6.222
ENSMUSG00000090362	Vmn2r79	-17.758	6.222
ENSMUSG00000104211	Gm37985	-83.245	5.836
ENSMUSG00000052516	Robo2	-23.776	5.813
ENSMUSG00000031558	Slit2	-29.793	5.611
ENSMUSG00000044365	Cxxc4	-19.563	5.525
ENSMUSG00000055373	Fut9	-18.961	5.470
ENSMUSG00000091620	Vmn2r23	-18.961	5.470
ENSMUSG00000059921	Unc5c	-26.183	5.424
ENSMUSG00000073514	Dok6	-26.183	5.424
ENSMUSG00000019888	Mgat4c	-18.059	5.414
ENSMUSG00000036815	Dpp10	-18.059	5.414
ENSMUSG00000021730	Hcn1	-41.826	5.407
ENSMUSG00000033569	Adgrb3	-32.801	5.366
ENSMUSG00000091239	Vmn2r76	-36.712	5.218
ENSMUSG00000090417	Vmn2r94	-22.572	5.209
ENSMUSG00000062209	Erbb4	-21.970	5.161
ENSMUSG00000095961	Vmn2r102	-21.970	5.161
ENSMUSG00000096002	Vmn2r53	-20.466	5.062
ENSMUSG00000064368	mt-Nd6	-281.993	4.970
ENSMUSG00000094747	Olfr1307	-24.979	4.963
ENSMUSG00000106320	Gm42992	-18.961	4.956
ENSMUSG00000034912	Mdga2	-36.111	4.941
ENSMUSG00000061080	Lsamp	-24.077	4.920
ENSMUSG00000064115	Cadm2	-23.475	4.876
ENSMUSG00000049252	Lrp1b	-28.590	4.861
ENSMUSG00000109125	Gm45159	-37.615	4.788
ENSMUSG00000052613	Pcdh15	-21.369	4.734
ENSMUSG00000091028	Gm10722	-141.863	4.721
ENSMUSG00000059146	Ntrk3	-25.882	4.705
ENSMUSG00000096736	Gm17535	-30.395	4.685
ENSMUSG00000029563	Foxp2	-25.280	4.663
ENSMUSG00000096385	Gm11168	-92.941	4.615
ENSMUSG00000075015	Gm10801	-Inf	4.614
ENSMUSG00000075014	Gm10800	-Inf	4.602
ENSMUSG00000095280	Gm21738	-Inf	4.544
ENSMUSG00000059742	Kcnh7	-18.359	4.521
ENSMUSG00000063760	Rnf217	-20.686	4.483
ENSMUSG00000089940	Gm4117	-74.941	4.463
ENSMUSG00000095186	Gm10718	-60.851	4.442
ENSMUSG00000115801	AC160336.1	-61.201	4.402
ENSMUSG00000095891	Gm10717	-249.554	4.358
ENSMUSG00000004151	Etv1	-18.621	4.332
ENSMUSG00000049100	Pcdh10	-21.572	4.282
ENSMUSG00000032625	Thsd7a	-21.572	4.282
ENSMUSG00000028883	Sema3a	-17.737	4.277
ENSMUSG00000062991	Nrg1	-23.642	4.204
ENSMUSG00000100826	Snhg14	-29.016	4.194
ENSMUSG00000035566	Pcdh17	-20.096	4.186
ENSMUSG00000020255	D10Wsu102e	-69.340	4.180
ENSMUSG00000042453	Reln	-18.621	4.084
ENSMUSG00000096519	Gm10721	-19.396	4.024
ENSMUSG00000038257	Glra3	-17.149	3.973
ENSMUSG00000040118	Cacna2d1	-25.436	3.943
ENSMUSG00000064345	mt-Nd2	-165.753	3.868
ENSMUSG00000030209	Grin2b	-16.507	3.818
ENSMUSG00000097451	Rian	-26.595	3.792
ENSMUSG00000032413	Rasa2	-19.700	3.769
ENSMUSG00000019437	Tlcd1	-17.949	3.740
ENSMUSG00000005583	Mef2c	-20.077	3.576
ENSMUSG00000064367	mt-Nd5	-264.448	3.568
ENSMUSG00000064363	mt-Nd4	-136.840	3.542
ENSMUSG00000061601	Pclo	-21.338	3.463
ENSMUSG00000056153	Socs6	-14.883	3.413
ENSMUSG00000024109	Nrxn1	-25.837	3.398
ENSMUSG00000037605	Adgrl3	-17.555	3.396
ENSMUSG00000064341	mt-Nd1	-237.008	3.355
ENSMUSG00000102758	Naaladl2	-17.189	3.321
ENSMUSG00000064370	mt-Cytb	-195.739	3.262
ENSMUSG00000005268	Prlr	-15.821	3.225
ENSMUSG00000022664	Slc35a5	-13.113	3.133
ENSMUSG00000029108	Pcdh7	-13.113	3.133
ENSMUSG00000004698	Hdac9	-16.338	3.104
ENSMUSG00000027820	Mme	-13.921	3.068
ENSMUSG00000114797	Gm49336	-15.800	3.057
ENSMUSG00000028403	Zdhhc21	-12.346	3.011
ENSMUSG00000003452	Bicd1	-28.374	2.998
ENSMUSG00000044768	D1Ertd622e	-21.972	2.968
ENSMUSG00000030861	Acadsb	-18.781	2.965
ENSMUSG00000028780	Sema3c	-15.593	2.961
ENSMUSG00000006262	Mob1b	-12.346	2.899
ENSMUSG00000018211	Wfdc15b	-12.346	2.899
ENSMUSG00000095547	Gm10719	-34.566	2.898
ENSMUSG00000048572	Tmem252	-17.473	2.887
ENSMUSG00000021824	Ap3m1	-12.930	2.808
ENSMUSG00000074505	Fat3	-13.615	2.783
ENSMUSG00000039555	Cylc2	-14.981	2.762
ENSMUSG00000069170	Adgrv1	-14.377	2.749
ENSMUSG00000040710	St8sia4	-23.903	2.748
